[2026-05-03 23:58:12] [OK] app=TEST-20260503235811-2506 from=submitted to=under_review action=review role=welfare | Test: review
[2026-05-03 23:58:12] [FAIL] app=TEST-20260503235811-2506 from=under_review to=N/A action=request_training role=contractor | Invalid action 'request_training' for status 'under_review'. Valid actions: [approve, reject]
[2026-05-03 23:58:12] [OK] app=TEST-20260503235811-2506 from=under_review to=approved action=approve role=welfare | Test: approve
[2026-05-03 23:58:12] [OK] app=TEST-20260503235811-2506 from=approved to=training_pending action=request_training role=contractor | Test: request_training
[2026-05-03 23:58:12] [OK] app=TEST-20260503235811-2506 from=training_pending to=training_completed action=complete_training role=safety_officer | Test: complete_training
[2026-05-03 23:58:12] [OK] app=TEST-20260503235811-2506 from=training_completed to=gatepass_pending action=request_gatepass role=contractor | Test: request_gatepass
[2026-05-03 23:58:12] [OK] app=TEST-20260503235811-2506 from=gatepass_pending to=gatepass_approved action=approve_gatepass role=pio | Test: approve_gatepass
[2026-05-03 23:58:12] [OK] app=TEST-20260503235811-2506 from=gatepass_approved to=final_approval_pending action=request_final_approval role=welfare | Test: request_final_approval
[2026-05-03 23:58:12] [OK] app=TEST-20260503235811-2506 from=final_approval_pending to=completed action=final_approve role=authority | Test: final_approve
[2026-05-04 01:06:14] [OK] app=1 from=submitted to=rejected action=reject role=welfare | Status changed: submitted → rejected
[2026-05-04 01:07:13] [FAIL] app=1 from=rejected to=N/A action=approve role=welfare | Invalid action 'approve' for status 'rejected'. Valid actions: [resubmit]
[2026-05-04 01:32:46] [FAIL] app=1 from=rejected to=N/A action=approve role=welfare | Invalid action 'approve' for status 'rejected'. Valid actions: [resubmit]
[2026-05-04 01:32:48] [FAIL] app=1 from=rejected to=N/A action=reject role=welfare | Invalid action 'reject' for status 'rejected'. Valid actions: [resubmit]
[2026-05-05 02:34:20] [FAIL] app=CMS-2026-0157 from=submitted to=N/A action=submit role=contractor | Invalid action 'submit' for status 'submitted'. Valid actions: [verify, reject]
[2026-05-05 03:00:17] [FAIL] app=CMS-2026-4256 from=submitted to=N/A action=submit role=contractor | Invalid action 'submit' for status 'submitted'. Valid actions: [verify, reject]
[2026-05-06 00:06:19] [FAIL] app=CMS-2026-0157 from=enrolment_done to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'enrolment_done'. Valid actions: [complete_training, request_gatepass]
[2026-05-06 00:08:33] [OK] app=CMS-2026-0157 from=enrolment_done to=training_done action=complete_training role=welfare_admin | Safety Training Completed
[2026-05-06 00:23:43] [OK] app=CMS-2026-0157 from=training_done to=gatepass_requested action=request_gatepass role=contractor | Annexure 5A gate pass request GPR-20260506-3288 submitted
[2026-05-06 23:53:52] [FAIL] app=CMS-2026-0157 from=gatepass_requested to=N/A action=verify role=welfare_user | Invalid action 'verify' for status 'gatepass_requested'. Valid actions: [verify_gatepass, reject_gatepass]
[2026-05-06 23:53:58] [FAIL] app=CMS-2026-0157 from=gatepass_requested to=N/A action=verify role=welfare_user | Invalid action 'verify' for status 'gatepass_requested'. Valid actions: [verify_gatepass, reject_gatepass]
[2026-05-06 23:54:11] [FAIL] app=CMS-2026-0157 from=gatepass_requested to=N/A action=complete_training role=welfare_user | Invalid action 'complete_training' for status 'gatepass_requested'. Valid actions: [verify_gatepass, reject_gatepass]
[2026-05-07 00:31:22] [FAIL] app=CMS-2026-0157 from=gatepass_requested to=N/A action=verify role=welfare_user | Invalid action 'verify' for status 'gatepass_requested'. Valid actions: [verify_gatepass, reject_gatepass]
